AvZ	Group	Da	Iteration	Da_lower	Da_upper
Autosome	CG_CH	3.61531071446305e-07	1	-6.6244880416647e-07	1.27957981493639e-06
Autosome	CG_OG	0.00107319866511604	1	0.00106263051777317	0.00108508937149214
Autosome	CH_OH	0.00102245790564798	1	0.00101142356019619	0.00103425987257926
Autosome	HG_HH	-5.45610841423899e-06	1	-6.53626870954685e-06	-4.40900586569607e-06
Autosome	OG_OH	1.96339181877938e-05	1	1.85237270566821e-05	2.08096526267888e-05
W	CG_CH	0.000667045454545454	1	0.000633456439393939	0.000706824494949495
W	CG_OG	4.46969696969697e-05	1	3.98989898989899e-05	4.91161616161616e-05
W	CH_OH	0.00010785536159601	1	0.000100246259351621	0.000115087281795511
W	HG_HH	0.0007227959697733	1	0.000685510075566751	0.000764357682619647
W	OG_OH	0.000602141057934509	1	0.000566863979848866	0.000638680730478589
Z	CG_CH	-3.17152103559873e-06	1	-6.89401294498384e-06	7.11974110032356e-07
Z	CG_OG	0.00160854368932039	1	0.00157310517799353	0.0016468640776699
Z	CH_OH	0.00156359223300971	1	0.00152766990291262	0.00160007200647249
Z	HG_HH	-1.02588996763753e-05	1	-1.42402912621358e-05	-6.2750809061489e-06
Z	OG_OH	-6.27831715210359e-06	1	-9.83818770226527e-06	-3.07362459546915e-06
Autosome	CG_CH	4.16418061384436e-05	2	4.05812939272888e-05	4.28023714415736e-05
Autosome	CG_OG	0.00111498710623451	2	0.0011037162486727	0.00112555575921525
Autosome	CH_OH	0.00107230621428933	2	0.00106013399403347	0.00108311618293978
Autosome	HG_HH	-9.36425247825183e-06	2	-1.03657950637262e-05	-8.30713888326922e-06
Autosome	OG_OH	2.94230671992715e-05	2	2.81563811498205e-05	3.06998028012334e-05
W	CG_CH	0.000722921914357683	2	0.000682232367758186	0.00075756926952141
W	CG_OG	4.26952141057935e-05	2	3.82840050377834e-05	4.68545340050378e-05
W	CH_OH	0.000205985037406484	2	0.000194756857855362	0.000217833541147132
W	HG_HH	0.000726708860759494	2	0.000686962025316456	0.000770009493670886
W	OG_OH	0.000580100755667506	2	0.000545081863979849	0.000617008816120907
Z	CG_CH	2.3462783171521e-05	2	1.9126213592233e-05	2.7766990291262e-05
Z	CG_OG	0.00158907971484122	2	0.0015527235904083	0.00162589355152301
Z	CH_OH	0.00171291262135922	2	0.00167329611650485	0.00175055097087379
Z	HG_HH	6.93005181347153e-06	2	2.65382124352321e-06	1.11738989637305e-05
Z	OG_OH	6.05569948186526e-06	2	2.75259067357512e-06	9.23008419689109e-06
Autosome	CG_CH	-1.33242313915885e-06	3	-2.23812955097089e-06	-2.87912115695861e-07
Autosome	CG_OG	0.0011040678566011	3	0.00109311555089245	0.00111558262122668
Autosome	CH_OH	0.00105531172574202	3	0.001044708373363	0.00106692136067149
Autosome	HG_HH	-4.78863268608401e-06	3	-5.93674150485428e-06	-3.66599666262137e-06
Autosome	OG_OH	3.50475323624595e-05	3	3.39121283373785e-05	3.62565736245959e-05
W	CG_CH	0.000657808564231738	3	0.000621898614609572	0.000695355793450881
W	CG_OG	3.56423173803526e-05	3	3.14861460957179e-05	3.99244332493703e-05
W	CH_OH	0.000119825436408978	3	0.000111842269326683	0.000127811720698254
W	HG_HH	0.00076360201511335	3	0.000722015113350126	0.00080617443324937
W	OG_OH	0.00071007556675063	3	0.000669511964735516	0.000751514483627204
Z	CG_CH	6.79611650485426e-07	3	-3.33495145631062e-06	4.43365695792879e-06
Z	CG_OG	0.00168297734627832	3	0.00164439805825243	0.00172252993527508
Z	CH_OH	0.001797928802589	3	0.00175785760517799	0.00183848300970874
Z	HG_HH	-3.81877022653711e-06	3	-8.18770226537215e-06	7.12783171520923e-07
Z	OG_OH	-6.47249190938604e-08	3	-3.36650485436898e-06	3.13915857605169e-06
Autosome	CG_CH	-1.22174462705437e-05	4	-1.31235145385586e-05	-1.12313527180787e-05
Autosome	CG_OG	0.00105307933458057	4	0.00104184671588209	0.00106423743489913
Autosome	CH_OH	0.0010351342468524	4	0.00102372623502048	0.00104635826970724
Autosome	HG_HH	2.30399595346504e-06	4	1.2414643399091e-06	3.39668689934239e-06
Autosome	OG_OH	2.21191282803257e-05	4	2.09282879101986e-05	2.33099686504525e-05
W	CG_CH	0.000614683544303798	4	0.000582278481012658	0.00065228164556962
W	CG_OG	4.87373737373737e-05	4	4.43150252525252e-05	5.34090909090909e-05
W	CH_OH	0.000101496259351621	4	9.48877805486284e-05	0.000108728179551122
W	HG_HH	0.000715617128463476	4	0.000676942695214106	0.000755818639798489
W	OG_OH	0.000647984886649874	4	0.000608438287153652	0.000687783375314861
Z	CG_CH	-1.65048543689322e-06	4	-5.43932038834953e-06	1.68365695792882e-06
Z	CG_OG	0.00159808937823834	4	0.0015586245142487	0.00163556994818653
Z	CH_OH	0.00176983818770227	4	0.00172750080906149	0.0018150857605178
Z	HG_HH	-8.96440129449837e-06	4	-1.31076051779936e-05	-4.6601941747573e-06
Z	OG_OH	4.20711974110201e-07	4	-2.88025889967625e-06	3.56067961165055e-06
Autosome	CG_CH	-3.71643828689459e-07	5	-1.37584062294575e-06	6.34575517014489e-07
Autosome	CG_OG	0.00107465867718447	5	0.00106312702265372	0.00108569263248382
Autosome	CH_OH	0.0010396384323641	5	0.00102841371681416	0.00105081927939317
Autosome	HG_HH	-3.50171925566365e-06	5	-4.58143709546944e-06	-2.41195135517781e-06
Autosome	OG_OH	2.94230671992715e-05	5	2.82853188046721e-05	3.05709283511146e-05
W	CG_CH	0.000641813602015113	5	0.0006044080604534	0.00067507241813602
W	CG_OG	3.42569269521411e-05	5	3.02267002518892e-05	3.84162468513854e-05
W	CH_OH	0.000127431421446384	5	0.000119326683291771	0.000135162094763092
W	HG_HH	0.000732241813602015	5	0.0006955919395466	0.000776952141057934
W	OG_OH	0.000580100755667506	5	0.000546212216624685	0.000616124055415617
Z	CG_CH	-6.01941747572826e-06	5	-9.83899676375404e-06	-1.9417475728156e-06
Z	CG_OG	0.00142289507772021	5	0.00138991985103627	0.00145684666450777
Z	CH_OH	0.00171975388601036	5	0.00167979031735751	0.00175984617875648
Z	HG_HH	-3.55987055016124e-07	5	-4.69417475728147e-06	4.27184466019414e-06
Z	OG_OH	6.05569948186526e-06	5	2.78497409326441e-06	9.26246761658039e-06
Autosome	CG_CH	-6.84128027506753e-06	6	-7.82228093239613e-06	-5.85275825453792e-06
Autosome	CG_OG	0.00110308691914851	6	0.00109175462658644	0.00111369355817364
Autosome	CH_OH	0.00104077210901552	6	0.00102952893512666	0.00105253311927997
Autosome	HG_HH	-3.69424496813979e-06	6	-4.76395772226188e-06	-2.64716294123645e-06
Autosome	OG_OH	3.26523388116309e-05	6	3.14560682680153e-05	3.3790391908976e-05
W	CG_CH	0.000627525252525253	6	0.000595454545454545	0.000663405934343434
W	CG_OG	4.70959595959596e-05	6	4.30555555555556e-05	5.13920454545455e-05
W	CH_OH	0.000139401496259352	6	0.00013017144638404	0.000148135910224439
W	HG_HH	0.00071253164556962	6	0.000672012658227848	0.000751911392405063
W	OG_OH	0.000696599496221662	6	0.000658183249370277	0.000735151133501259
Z	CG_CH	-3.75404530744336e-06	6	-7.8325242718447e-06	3.23624595469302e-08
Z	CG_OG	0.00158598705501618	6	0.00155082443365696	0.00162188430420712
Z	CH_OH	0.00165077669902913	6	0.00161187540453074	0.00168692637540453
Z	HG_HH	5.33980582524283e-06	6	1.13187702265367e-06	9.4199029126214e-06
Z	OG_OH	3.72409326424884e-06	6	6.80051813471564e-07	6.93005181347153e-06
Autosome	CG_CH	-2.43211811700502e-06	7	-3.33746270920765e-06	-1.46129342165146e-06
Autosome	CG_OG	0.00105015674773727	7	0.00103882862668757	0.00106146224149264
Autosome	CH_OH	0.00102234246990998	7	0.00101117294174168	0.0010332827829473
Autosome	HG_HH	2.25571515274133e-06	7	1.21851608334981e-06	3.29550627149508e-06
Autosome	OG_OH	2.43034838448702e-05	7	2.31754057743846e-05	2.54387040501594e-05
W	CG_CH	0.000605934343434343	7	0.000572948232323232	0.000639403409090909
W	CG_OG	5.12594458438287e-05	7	4.65963476070529e-05	5.56706549118388e-05
W	CH_OH	0.000131296758104738	7	0.000123192019950125	0.00014002493765586
W	HG_HH	0.000743939393939394	7	0.000708459595959596	0.000783854166666667
W	OG_OH	0.000597103274559194	7	0.000562969143576826	0.000633006926952141
Z	CG_CH	-2.78317152103567e-06	7	-6.40857605177999e-06	1.23300970873793e-06
Z	CG_OG	0.00163220064724919	7	0.00159167961165049	0.00167090776699029
Z	CH_OH	0.00164572815533981	7	0.00160627750809062	0.00168366181229773
Z	HG_HH	-1.27831715210357e-05	7	-1.65056634304206e-05	-8.96440129449847e-06
Z	OG_OH	-7.11974110032248e-07	7	-3.85194174757282e-06	2.45954692556627e-06
Autosome	CG_CH	7.07351602790987e-06	8	6.04453180301353e-06	8.03417939124283e-06
Autosome	CG_OG	0.00103071244374779	8	0.00101953626687566	0.00104109925671234
Autosome	CH_OH	0.00102420994084037	8	0.00101344092885675	0.0010346665318299
Autosome	HG_HH	-6.29425450131499e-06	8	-7.33872395306474e-06	-5.36105351001412e-06
Autosome	OG_OH	3.98720736208727e-05	8	3.87040501592761e-05	4.11690347373209e-05
W	CG_CH	0.000805415617128463	8	0.000763841309823678	0.000852522040302267
W	CG_OG	5.54292929292929e-05	8	5.06313131313131e-05	5.98484848484849e-05
W	CH_OH	0.000111720698254364	8	0.000104236284289277	0.000119329800498753
W	HG_HH	0.000692550505050505	8	0.000655678661616162	0.000732458964646464
W	OG_OH	0.000598488664987406	8	0.000564093198992443	0.000631863979848866
Z	CG_CH	3.23624595470386e-08	8	-4.40129449838186e-06	4.43527508090624e-06
Z	CG_OG	0.0016029792746114	8	0.00156595612046632	0.00163938471502591
Z	CH_OH	0.00158526554404145	8	0.00154916774611399	0.00162297117875648
Z	HG_HH	4.40129449838186e-06	8	3.22006472491953e-07	8.51132686084145e-06
Z	OG_OH	2.72020725388604e-06	8	-4.5498704663223e-07	5.82901554404148e-06
Autosome	CG_CH	2.08131067961164e-05	9	1.98268102750811e-05	2.1873040554207e-05
Autosome	CG_OG	0.00113437073368054	9	0.00112233819588411	0.00114662815391616
Autosome	CH_OH	0.0010413649236371	9	0.00102980409881663	0.00105377484322848
Autosome	HG_HH	3.1378002528443e-06	9	2.10613147914046e-06	4.22256637168169e-06
Autosome	OG_OH	6.94781553398039e-06	9	5.88086569579303e-06	8.05022502022664e-06
W	CG_CH	0.000628967254408061	9	0.000597732997481108	0.000664108942065491
W	CG_OG	5.4911838790932e-05	9	4.97481108312343e-05	5.9823677581864e-05
W	CH_OH	0.000159600997506234	9	0.000150249376558604	0.000168955735660848
W	HG_HH	0.000744332493702771	9	0.000705258186397985	0.000783271410579345
W	OG_OH	0.000604030226700252	9	0.000565985516372796	0.000640050377833753
Z	CG_CH	7.57281553398059e-06	9	3.78559870550162e-06	1.16504854368931e-05
Z	CG_OG	0.00175171521035599	9	0.00171248705501618	0.00179203398058252
Z	CH_OH	0.0016181670984456	9	0.00158199238989637	0.00165466726036269
Z	HG_HH	-8.86731391585758e-06	9	-1.2588996763754e-05	-5.07847896440127e-06
Z	OG_OH	-1.12370466321245e-05	9	-1.43134715025906e-05	-8.19219559585476e-06
