ID	MaxK	K	Q	Notes	Analysis_Dataset	Group	IDNumber	Species	Species_Latin	Shape	Country	Sex	MeanCoverage	MedianCoverage	Plumage	CanorusDiverged	PlumageColor	Longitude	Latitude	Source	Isolate	Sampling_Date	SRA_Biosample	SRA_Runs	Aligned_Reads_Million	Sequencing_Output_Gb	Aligned_Gb	Aligned_Gb_Percent	IDtree	Kclust
444_CC_UNK_MON_F	2	K1	0.99999		C	CG	444	CC	C. canorus	21	MON	FALSE	8.09	8	grey	NA	#000000	28.98916667	46.88444444	Toepad	SG0840	NA	NA	NA	158.49726	24.26028	10.3340814	0.4259671117	444_CC_UNK_MON_F	K2
444_CC_UNK_MON_F	2	K2	1e-05		C	CG	444	CC	C. canorus	21	MON	FALSE	8.09	8	grey	NA	#000000	28.98916667	46.88444444	Toepad	SG0840	NA	NA	NA	158.49726	24.26028	10.3340814	0.4259671117	444_CC_UNK_MON_F	K2
423_CC_GRW_HUN_F	2	K1	0.99999		A	CG	423	CC	C. canorus	21	HUN	FALSE	11.47	10	grey	NA	#000000	19.1	47.12	blood	C03648	NA	NA	NA	149.062762	22.56582	21.75998264	0.9642894714	423_CC_GRW_HUN_F	K2
423_CC_GRW_HUN_F	2	K2	1e-05		A	CG	423	CC	C. canorus	21	HUN	FALSE	11.47	10	grey	NA	#000000	19.1	47.12	blood	C03648	NA	NA	NA	149.062762	22.56582	21.75998264	0.9642894714	423_CC_GRW_HUN_F	K2
419_CC_GRW_HUN_F	2	K1	0.99999		A	CG	419	CC	C. canorus	21	HUN	FALSE	13.64	13	grey	NA	#000000	19.1	47.12	blood	C03421	NA	NA	NA	195.51252	29.49827	27.98775855	0.9487932191	419_CC_GRW_HUN_F	K2
419_CC_GRW_HUN_F	2	K2	1e-05		A	CG	419	CC	C. canorus	21	HUN	FALSE	13.64	13	grey	NA	#000000	19.1	47.12	blood	C03421	NA	NA	NA	195.51252	29.49827	27.98775855	0.9487932191	419_CC_GRW_HUN_F	K2
427_CC_GRW_HUN_F	2	K1	0.99999		A	CG	427	CC	C. canorus	21	HUN	FALSE	8.27	7	grey	NA	#000000	19.1	47.12	blood	LM02018	NA	NA	NA	115.671546	17.52426	16.77433346	0.957206379	427_CC_GRW_HUN_F	K2
427_CC_GRW_HUN_F	2	K2	1e-05		A	CG	427	CC	C. canorus	21	HUN	FALSE	8.27	7	grey	NA	#000000	19.1	47.12	blood	LM02018	NA	NA	NA	115.671546	17.52426	16.77433346	0.957206379	427_CC_GRW_HUN_F	K2
420_CC_GRW_HUN_F	2	K1	0.99999		A	CG	420	CC	C. canorus	21	HUN	FALSE	7.36	6	grey	NA	#000000	19.1	47.12	blood	C03424	NA	NA	NA	107.185798	16.17185	15.32126086	0.9474031023	420_CC_GRW_HUN_F	K2
420_CC_GRW_HUN_F	2	K2	1e-05		A	CG	420	CC	C. canorus	21	HUN	FALSE	7.36	6	grey	NA	#000000	19.1	47.12	blood	C03424	NA	NA	NA	107.185798	16.17185	15.32126086	0.9474031023	420_CC_GRW_HUN_F	K2
418_CC_GRW_HUN_F	2	K1	0.99999		A	CG	418	CC	C. canorus	21	HUN	FALSE	8.76	8	grey	NA	#000000	19.1	47.12	blood	C03413	NA	NA	NA	134.331772	20.25903	18.93569391	0.9346791979	418_CC_GRW_HUN_F	K2
418_CC_GRW_HUN_F	2	K2	1e-05		A	CG	418	CC	C. canorus	21	HUN	FALSE	8.76	8	grey	NA	#000000	19.1	47.12	blood	C03413	NA	NA	NA	134.331772	20.25903	18.93569391	0.9346791979	418_CC_GRW_HUN_F	K2
422_CC_GRW_HUN_F	2	K1	0.99999		A	CG	422	CC	C. canorus	21	HUN	FALSE	7.32	6	grey	NA	#000000	19.1	47.12	blood	C03634	NA	NA	NA	109.104676	16.45238	15.67559854	0.9527860735	422_CC_GRW_HUN_F	K2
422_CC_GRW_HUN_F	2	K2	1e-05		A	CG	422	CC	C. canorus	21	HUN	FALSE	7.32	6	grey	NA	#000000	19.1	47.12	blood	C03634	NA	NA	NA	109.104676	16.45238	15.67559854	0.9527860735	422_CC_GRW_HUN_F	K2
429_CC_GRW_HUN_F	2	K1	0.99999		A	CG	429	CC	C. canorus	21	HUN	FALSE	8.21	7	grey	NA	#000000	19.1	47.12	blood	LM02042	NA	NA	NA	109.16003	16.56194	15.95739512	0.9634979429	429_CC_GRW_HUN_F	K2
429_CC_GRW_HUN_F	2	K2	1e-05		A	CG	429	CC	C. canorus	21	HUN	FALSE	8.21	7	grey	NA	#000000	19.1	47.12	blood	LM02042	NA	NA	NA	109.16003	16.56194	15.95739512	0.9634979429	429_CC_GRW_HUN_F	K2
421_CC_GRW_HUN_F	2	K1	0.99999		A	CG	421	CC	C. canorus	21	HUN	FALSE	7.48	6	grey	NA	#000000	19.1	47.12	blood	C03626	NA	NA	NA	104.712942	15.81271	15.19327761	0.9608269304	421_CC_GRW_HUN_F	K2
421_CC_GRW_HUN_F	2	K2	1e-05		A	CG	421	CC	C. canorus	21	HUN	FALSE	7.48	6	grey	NA	#000000	19.1	47.12	blood	C03626	NA	NA	NA	104.712942	15.81271	15.19327761	0.9608269304	421_CC_GRW_HUN_F	K2
424_CC_GRW_HUN_F	2	K1	0.99999		A	CG	424	CC	C. canorus	21	HUN	FALSE	7.28	6	grey	NA	#000000	19.1	47.12	blood	C03649	NA	NA	NA	102.641084	15.51591	15.08718875	0.9723689265	424_CC_GRW_HUN_F	K2
424_CC_GRW_HUN_F	2	K2	1e-05		A	CG	424	CC	C. canorus	21	HUN	FALSE	7.28	6	grey	NA	#000000	19.1	47.12	blood	C03649	NA	NA	NA	102.641084	15.51591	15.08718875	0.9723689265	424_CC_GRW_HUN_F	K2
417_CC_GRW_HUN_F	2	K1	0.99999		A	CG	417	CC	C. canorus	21	HUN	FALSE	7.84	7	grey	NA	#000000	19.1	47.12	blood	C03403	NA	NA	NA	107.482208	16.25967	15.78618731	0.9708799324	417_CC_GRW_HUN_F	K2
417_CC_GRW_HUN_F	2	K2	1e-05		A	CG	417	CC	C. canorus	21	HUN	FALSE	7.84	7	grey	NA	#000000	19.1	47.12	blood	C03403	NA	NA	NA	107.482208	16.25967	15.78618731	0.9708799324	417_CC_GRW_HUN_F	K2
428_CC_GRW_HUN_F	2	K1	0.99999		A	CG	428	CC	C. canorus	21	HUN	FALSE	7.97	7	grey	NA	#000000	19.1	47.12	blood	LM02036	NA	NA	NA	98.116134	14.90172	14.355711	0.9633593303	428_CC_GRW_HUN_F	K2
428_CC_GRW_HUN_F	2	K2	1e-05		A	CG	428	CC	C. canorus	21	HUN	FALSE	7.97	7	grey	NA	#000000	19.1	47.12	blood	LM02036	NA	NA	NA	98.116134	14.90172	14.355711	0.9633593303	428_CC_GRW_HUN_F	K2
430_CC_GRW_HUN_F	2	K1	0.99999		A	CG	430	CC	C. canorus	21	HUN	FALSE	9.89	9	grey	NA	#000000	19.1	47.12	blood	LM02043	NA	NA	NA	123.522348	18.82584	18.02207155	0.9573050419	430_CC_GRW_HUN_F	K2
430_CC_GRW_HUN_F	2	K2	1e-05		A	CG	430	CC	C. canorus	21	HUN	FALSE	9.89	9	grey	NA	#000000	19.1	47.12	blood	LM02043	NA	NA	NA	123.522348	18.82584	18.02207155	0.9573050419	430_CC_GRW_HUN_F	K2
426_CC_GRW_HUN_F	2	K1	0.99999		A	CG	426	CC	C. canorus	21	HUN	FALSE	12.39	11	grey	NA	#000000	19.1	47.12	blood	LM02015	NA	NA	NA	178.361372	27.18221	26.0174071	0.9571483371	426_CC_GRW_HUN_F	K2
426_CC_GRW_HUN_F	2	K2	1e-05		A	CG	426	CC	C. canorus	21	HUN	FALSE	12.39	11	grey	NA	#000000	19.1	47.12	blood	LM02015	NA	NA	NA	178.361372	27.18221	26.0174071	0.9571483371	426_CC_GRW_HUN_F	K2
393_CC_UNK_RUS_F	2	K1	0.99999		B	CG	393	CC	C. canorus	21	RUS	FALSE	7.27	6	grey	NA	#000000	129.8	62	muscle	488	23-May-2018	SAMN18559839	SRR14117676	79.933466	12.05192	11.60083273	0.9625713355	393_CC_UNK_RUS_F	K2
393_CC_UNK_RUS_F	2	K2	1e-05		B	CG	393	CC	C. canorus	21	RUS	FALSE	7.27	6	grey	NA	#000000	129.8	62	muscle	488	23-May-2018	SAMN18559839	SRR14117676	79.933466	12.05192	11.60083273	0.9625713355	393_CC_UNK_RUS_F	K2
370_CO_PLW_RUS_F	2	K1	1e-05		B	OG	370	CO	C. optatus	24	RUS	FALSE	10.26	9	grey	NA	#000000	132.7667	44.75	muscle	1264	23-May-2005	SAMN18559816	SRR14117716	103.012224	15.54051	15.24214217	0.980800641	370_CO_PLW_RUS_F	K2
370_CO_PLW_RUS_F	2	K2	0.99999		B	OG	370	CO	C. optatus	24	RUS	FALSE	10.26	9	grey	NA	#000000	132.7667	44.75	muscle	1264	23-May-2005	SAMN18559816	SRR14117716	103.012224	15.54051	15.24214217	0.980800641	370_CO_PLW_RUS_F	K2
379_CO_PLW_RUS_F	2	K1	1e-05		B	OG	379	CO	C. optatus	24	RUS	FALSE	10.98	10	grey	NA	#000000	141.8667	46.36667	muscle	1078	26-Jun-2003	SAMN18559825	SRR14117581	117.155224	17.68048	17.28667665	0.9777266596	379_CO_PLW_RUS_F	K2
379_CO_PLW_RUS_F	2	K2	0.99999		B	OG	379	CO	C. optatus	24	RUS	FALSE	10.98	10	grey	NA	#000000	141.8667	46.36667	muscle	1078	26-Jun-2003	SAMN18559825	SRR14117581	117.155224	17.68048	17.28667665	0.9777266596	379_CO_PLW_RUS_F	K2
120_CC_UNK_ENG_F	2	K1	0.99999		B	CG	120	CC	C. canorus	21	ENG	FALSE	10.05	9	grey	NA	#000000	-2.495503	53.998013	feather	DA34857	3-Jun-2015	SAMN15783698	SRR12426772	121.583262	21.0543	17.71632284	0.8414586493	120_CC_UNK_ENG_F	K2
120_CC_UNK_ENG_F	2	K2	1e-05		B	CG	120	CC	C. canorus	21	ENG	FALSE	10.05	9	grey	NA	#000000	-2.495503	53.998013	feather	DA34857	3-Jun-2015	SAMN15783698	SRR12426772	121.583262	21.0543	17.71632284	0.8414586493	120_CC_UNK_ENG_F	K2
380_CO_PLW_RUS_F	2	K1	1e-05		B	OG	380	CO	C. optatus	24	RUS	FALSE	11.84	11	grey	NA	#000000	141.8667	46.36667	muscle	1083	27-Jun-2003	SAMN18559826	SRR14117580	129.58235	19.56815	19.0958364	0.975863145	380_CO_PLW_RUS_F	K2
380_CO_PLW_RUS_F	2	K2	0.99999		B	OG	380	CO	C. optatus	24	RUS	FALSE	11.84	11	grey	NA	#000000	141.8667	46.36667	muscle	1083	27-Jun-2003	SAMN18559826	SRR14117580	129.58235	19.56815	19.0958364	0.975863145	380_CO_PLW_RUS_F	K2
283_CC_UNK_RUS_F	2	K1	0.99999		B	CG	283	CC	C. canorus	21	RUS	FALSE	12.71	12	grey	NA	#000000	132.7833	44.75	muscle	652	23-Jun-2004	SAMN18559729	SRR14117547,SRR14117546	135.21748	20.37124	20.05284279	0.9843702588	283_CC_UNK_RUS_F	K2
283_CC_UNK_RUS_F	2	K2	1e-05		B	CG	283	CC	C. canorus	21	RUS	FALSE	12.71	12	grey	NA	#000000	132.7833	44.75	muscle	652	23-Jun-2004	SAMN18559729	SRR14117547,SRR14117546	135.21748	20.37124	20.05284279	0.9843702588	283_CC_UNK_RUS_F	K2
311_CO_ACW_RUS_F	2	K1	1e-05		B	OG	311	CO	C. optatus	24	RUS	FALSE	9.54	9	grey	NA	#000000	88.96667	62.28333	heart	Co-017.4	1-Apr-2017	SAMN18559757	SRR14117625	96.90954	14.6362	14.27771115	0.9755066991	311_CO_ACW_RUS_F	K2
311_CO_ACW_RUS_F	2	K2	0.99999		B	OG	311	CO	C. optatus	24	RUS	FALSE	9.54	9	grey	NA	#000000	88.96667	62.28333	heart	Co-017.4	1-Apr-2017	SAMN18559757	SRR14117625	96.90954	14.6362	14.27771115	0.9755066991	311_CO_ACW_RUS_F	K2
285_CC_UNK_RUS_F	2	K1	0.99999		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	285_CC_UNK_RUS_F	K2
285_CC_UNK_RUS_F	2	K2	1e-05		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	285_CC_UNK_RUS_F	K2
381_CO_PLW_RUS_F	2	K1	1e-05		B	OG	381	CO	C. optatus	24	RUS	FALSE	12.91	12	grey	NA	#000000	143.0667	51.2	muscle	2895	29-Jun-2009	SAMN18559827	SRR14117579	132.59979	20.05827	19.53751739	0.9740380098	381_CO_PLW_RUS_F	K2
381_CO_PLW_RUS_F	2	K2	0.99999		B	OG	381	CO	C. optatus	24	RUS	FALSE	12.91	12	grey	NA	#000000	143.0667	51.2	muscle	2895	29-Jun-2009	SAMN18559827	SRR14117579	132.59979	20.05827	19.53751739	0.9740380098	381_CO_PLW_RUS_F	K2
304_CC_UNK_RUS_F	2	K1	0.99999		B	CG	304	CC	C. canorus	21	RUS	FALSE	12.97	12	grey	NA	#000000	40.183102	51.135816	blood	Cc-031.1	29-Jan-2020	SAMN18559750	SRR14117634	130.9903	19.78347	19.4214426	0.9817005106	304_CC_UNK_RUS_F	K2
304_CC_UNK_RUS_F	2	K2	1e-05		B	CG	304	CC	C. canorus	21	RUS	FALSE	12.97	12	grey	NA	#000000	40.183102	51.135816	blood	Cc-031.1	29-Jan-2020	SAMN18559750	SRR14117634	130.9903	19.78347	19.4214426	0.9817005106	304_CC_UNK_RUS_F	K2
362_CO_PLW_RUS_F	2	K1	1e-05		B	OG	362	CO	C. optatus	24	RUS	FALSE	13.79	12	grey	NA	#000000	142.55	48.48333	muscle	3031	1-Jul-2010	SAMN18559808	SRR14117609,SRR14117608	139.002458	21.02098	20.5082344	0.9756079117	362_CO_PLW_RUS_F	K2
362_CO_PLW_RUS_F	2	K2	0.99999		B	OG	362	CO	C. optatus	24	RUS	FALSE	13.79	12	grey	NA	#000000	142.55	48.48333	muscle	3031	1-Jul-2010	SAMN18559808	SRR14117609,SRR14117608	139.002458	21.02098	20.5082344	0.9756079117	362_CO_PLW_RUS_F	K2
328_CC_SCC_RUS_F	2	K1	0.99999		B	CG	328	CC	C. canorus	21	RUS	FALSE	13.94	13	grey	NA	#000000	59.76667	58.63333	muscle	Co-041	17-Aug-2014	SAMN18559774	SRR14117598	151.77779	22.90607	22.46655909	0.9808124698	328_CC_SCC_RUS_F	K2
328_CC_SCC_RUS_F	2	K2	1e-05		B	CG	328	CC	C. canorus	21	RUS	FALSE	13.94	13	grey	NA	#000000	59.76667	58.63333	muscle	Co-041	17-Aug-2014	SAMN18559774	SRR14117598	151.77779	22.90607	22.46655909	0.9808124698	328_CC_SCC_RUS_F	K2
317_CO_SCC_RUS_F	2	K1	1e-05		B	OG	317	CO	C. optatus	24	RUS	FALSE	14.36	13	grey	NA	#000000	88.96667	62.28333	growing_feather	Co-016.2	1-Apr-2017	SAMN18559763	SRR14117531,SRR14117529	143.899666	21.74592	21.24018361	0.9767433896	317_CO_SCC_RUS_F	K2
317_CO_SCC_RUS_F	2	K2	0.99999		B	OG	317	CO	C. optatus	24	RUS	FALSE	14.36	13	grey	NA	#000000	88.96667	62.28333	growing_feather	Co-016.2	1-Apr-2017	SAMN18559763	SRR14117531,SRR14117529	143.899666	21.74592	21.24018361	0.9767433896	317_CO_SCC_RUS_F	K2
295_CC_UNK_RUS_F	2	K1	0.99999		B	CG	295	CC	C. canorus	21	RUS	FALSE	11.46	10	grey	NA	#000000	143.3333	46.48333	muscle	118	13-Jul-2004	SAMN18559741	SRR14117650	115.722976	17.531	17.03288603	0.9715866767	295_CC_UNK_RUS_F	K2
295_CC_UNK_RUS_F	2	K2	1e-05		B	CG	295	CC	C. canorus	21	RUS	FALSE	11.46	10	grey	NA	#000000	143.3333	46.48333	muscle	118	13-Jul-2004	SAMN18559741	SRR14117650	115.722976	17.531	17.03288603	0.9715866767	295_CC_UNK_RUS_F	K2
277_CC_UNK_RUS_F	2	K1	0.99999		C	BG	277	CC	C. canorus	21	RUS	FALSE	13.44	13	grey	Canorus_Diverged	#000000	176.6167	62.43333	muscle	617	21-Jun-2017	SAMN18559723	SRR14117555,SRR14117554	136.338928	20.57441	20.18809997	0.9812237615	277_CC_UNK_RUS_F	K2
277_CC_UNK_RUS_F	2	K2	1e-05		C	BG	277	CC	C. canorus	21	RUS	FALSE	13.44	13	grey	Canorus_Diverged	#000000	176.6167	62.43333	muscle	617	21-Jun-2017	SAMN18559723	SRR14117555,SRR14117554	136.338928	20.57441	20.18809997	0.9812237615	277_CC_UNK_RUS_F	K2
376_CO_PLW_RUS_F	2	K1	1e-05		B	OG	376	CO	C. optatus	24	RUS	FALSE	13.8	12	grey	NA	#000000	147.2333	44.8	muscle	1802	23-Jul-2004	SAMN18559822	SRR14117707,SRR14117706	142.951598	21.76868	20.93863614	0.961869812	376_CO_PLW_RUS_F	K2
376_CO_PLW_RUS_F	2	K2	0.99999		B	OG	376	CO	C. optatus	24	RUS	FALSE	13.8	12	grey	NA	#000000	147.2333	44.8	muscle	1802	23-Jul-2004	SAMN18559822	SRR14117707,SRR14117706	142.951598	21.76868	20.93863614	0.961869812	376_CO_PLW_RUS_F	K2
286_CC_UNK_RUS_F	2	K1	0.99999		B	CG	286	CC	C. canorus	21	RUS	FALSE	12.52	11	grey	NA	#000000	130.7	42.48333	muscle	639	19-Jun-2004	SAMN18559732	SRR14117539	128.89753	19.52563	19.01405605	0.9737998748	286_CC_UNK_RUS_F	K2
286_CC_UNK_RUS_F	2	K2	1e-05		B	CG	286	CC	C. canorus	21	RUS	FALSE	12.52	11	grey	NA	#000000	130.7	42.48333	muscle	639	19-Jun-2004	SAMN18559732	SRR14117539	128.89753	19.52563	19.01405605	0.9737998748	286_CC_UNK_RUS_F	K2
252_CC_SRT_RUS_F	2	K1	0.99999		C	BG	252	CC	C. canorus	21	RUS	FALSE	13.85	13	grey	Canorus_Diverged	#000000	88.96667	62.28333	blood	Cc-007.3	29-Jan-2020	SAMN18559698	SRR14117526	148.268398	22.40046	21.97402702	0.9809632043	252_CC_SRT_RUS_F	K2
252_CC_SRT_RUS_F	2	K2	1e-05		C	BG	252	CC	C. canorus	21	RUS	FALSE	13.85	13	grey	Canorus_Diverged	#000000	88.96667	62.28333	blood	Cc-007.3	29-Jan-2020	SAMN18559698	SRR14117526	148.268398	22.40046	21.97402702	0.9809632043	252_CC_SRT_RUS_F	K2
291_CC_UNK_RUS_F	2	K1	0.99999		B	CG	291	CC	C. canorus	21	RUS	FALSE	14.96	14	grey	NA	#000000	143.3333	46.48333	muscle	963	15-Jun-2003	SAMN18559737	SRR14117658,SRR14117657	151.186576	22.82363	22.28839161	0.9765489368	291_CC_UNK_RUS_F	K2
291_CC_UNK_RUS_F	2	K2	1e-05		B	CG	291	CC	C. canorus	21	RUS	FALSE	14.96	14	grey	NA	#000000	143.3333	46.48333	muscle	963	15-Jun-2003	SAMN18559737	SRR14117658,SRR14117657	151.186576	22.82363	22.28839161	0.9765489368	291_CC_UNK_RUS_F	K2
294_CC_UNK_RUS_F	2	K1	0.99999		B	CG	294	CC	C. canorus	21	RUS	FALSE	15.14	14	grey	NA	#000000	143.3333	46.48333	muscle	82	18-Jun-2004	SAMN18559740	SRR14117652,SRR14117651	153.54039	23.1892	22.67883762	0.9779913762	294_CC_UNK_RUS_F	K2
294_CC_UNK_RUS_F	2	K2	1e-05		B	CG	294	CC	C. canorus	21	RUS	FALSE	15.14	14	grey	NA	#000000	143.3333	46.48333	muscle	82	18-Jun-2004	SAMN18559740	SRR14117652,SRR14117651	153.54039	23.1892	22.67883762	0.9779913762	294_CC_UNK_RUS_F	K2
276_CC_UNK_RUS_F	2	K1	0.99999		C	BG	276	CC	C. canorus	21	RUS	FALSE	13.48	11	grey	Canorus_Diverged	#000000	177.05	62.53333	muscle	428	8-Jun-2014	SAMN18559722	SRR14117557	147.954368	22.41282	21.70265929	0.9683145311	276_CC_UNK_RUS_F	K2
276_CC_UNK_RUS_F	2	K2	1e-05		C	BG	276	CC	C. canorus	21	RUS	FALSE	13.48	11	grey	Canorus_Diverged	#000000	177.05	62.53333	muscle	428	8-Jun-2014	SAMN18559722	SRR14117557	147.954368	22.41282	21.70265929	0.9683145311	276_CC_UNK_RUS_F	K2
436_CC_UNK_ROM_F	2	K1	0.99999		C	CH	436	CC	C. canorus	21	ROM	FALSE	6.01	6	rufous	NA	#e78f41	23.71666667	46.3	Toepad	SG0832	NA	NA	NA	117.105126	17.93372	7.69270295	0.4289518823	436_CC_UNK_ROM_F	K2
436_CC_UNK_ROM_F	2	K2	1e-05		C	CH	436	CC	C. canorus	21	ROM	FALSE	6.01	6	rufous	NA	#e78f41	23.71666667	46.3	Toepad	SG0832	NA	NA	NA	117.105126	17.93372	7.69270295	0.4289518823	436_CC_UNK_ROM_F	K2
439_CC_UNK_RUS_F	2	K1	0.99999		C	CH	439	CC	C. canorus	21	RUS	FALSE	7.05	6	rufous	NA	#e78f41	43.61888889	43.49805556	Toepad	SG0835	NA	NA	NA	129.41535	19.7996	8.937148665	0.4513802635	439_CC_UNK_RUS_F	K2
439_CC_UNK_RUS_F	2	K2	1e-05		C	CH	439	CC	C. canorus	21	RUS	FALSE	7.05	6	rufous	NA	#e78f41	43.61888889	43.49805556	Toepad	SG0835	NA	NA	NA	129.41535	19.7996	8.937148665	0.4513802635	439_CC_UNK_RUS_F	K2
441_CC_UNK_RUS_F	2	K1	0.99999		C	CH	441	CC	C. canorus	21	RUS	FALSE	6.17	6	rufous	NA	#e78f41	43.61888889	43.49805556	Toepad	SG0837	NA	NA	NA	128.016932	19.65709	7.8730555	0.4005198888	441_CC_UNK_RUS_F	K2
441_CC_UNK_RUS_F	2	K2	1e-05		C	CH	441	CC	C. canorus	21	RUS	FALSE	6.17	6	rufous	NA	#e78f41	43.61888889	43.49805556	Toepad	SG0837	NA	NA	NA	128.016932	19.65709	7.8730555	0.4005198888	441_CC_UNK_RUS_F	K2
443_CC_UNK_RUS_F	2	K1	0.977206		C	CH	443	CC	C. canorus	21	RUS	FALSE	6.63	6	rufous	NA	#e78f41	20.85444444	55.15222222	Toepad	SG0839	NA	NA	NA	119.943312	18.46009	8.398077669	0.4549315669	443_CC_UNK_RUS_F	K2
443_CC_UNK_RUS_F	2	K2	0.022794		C	CH	443	CC	C. canorus	21	RUS	FALSE	6.63	6	rufous	NA	#e78f41	20.85444444	55.15222222	Toepad	SG0839	NA	NA	NA	119.943312	18.46009	8.398077669	0.4549315669	443_CC_UNK_RUS_F	K2
440_CC_UNK_RUS_F	2	K1	0.99999		C	CH	440	CC	C. canorus	21	RUS	FALSE	7.61	7	rufous	NA	#e78f41	43.61888889	43.49805556	Toepad	SG0836	NA	NA	NA	130.75157	19.95066	9.744037917	0.4884067954	440_CC_UNK_RUS_F	K2
440_CC_UNK_RUS_F	2	K2	1e-05		C	CH	440	CC	C. canorus	21	RUS	FALSE	7.61	7	rufous	NA	#e78f41	43.61888889	43.49805556	Toepad	SG0836	NA	NA	NA	130.75157	19.95066	9.744037917	0.4884067954	440_CC_UNK_RUS_F	K2
445_CC_UNK_TOG_F	2	K1	0.99999		C	CH	445	CC	C. canorus	21	TOG	FALSE	7.74	7	rufous	NA	#e78f41	0.470833333	10.35916667	Toepad	SG0841	NA	NA	NA	141.726622	21.67427	9.885588484	0.4560978748	445_CC_UNK_TOG_F	K2
445_CC_UNK_TOG_F	2	K2	1e-05		C	CH	445	CC	C. canorus	21	TOG	FALSE	7.74	7	rufous	NA	#e78f41	0.470833333	10.35916667	Toepad	SG0841	NA	NA	NA	141.726622	21.67427	9.885588484	0.4560978748	445_CC_UNK_TOG_F	K2
431_CC_UNK_EST_F	2	K1	0.99999		C	CH	431	CC	C. canorus	21	EST	FALSE	8.87	8	rufous	NA	#e78f41	26.39	58.13611111	Toepad	SG0827	NA	NA	NA	156.645302	23.96846	11.27511381	0.470414612	431_CC_UNK_EST_F	K2
431_CC_UNK_EST_F	2	K2	1e-05		C	CH	431	CC	C. canorus	21	EST	FALSE	8.87	8	rufous	NA	#e78f41	26.39	58.13611111	Toepad	SG0827	NA	NA	NA	156.645302	23.96846	11.27511381	0.470414612	431_CC_UNK_EST_F	K2
