CHROM	ID	nREF	nALT	nHET	nTs	nTv	avgDP	Singletons	Missing_Sites
chr_10	370_CO_PLW_RUS_F	1648329	73453	103234	122860	53827	8.0	7155	251717
chr_10	379_CO_PLW_RUS_F	1748155	80404	108075	131261	57218	8.8	7903	140099
chr_10	120_CC_UNK_ENG_F	1772854	51348	101236	106707	45877	8.2	5856	151295
chr_10	380_CO_PLW_RUS_F	1765607	82409	108186	133003	57592	9.2	7781	120531
chr_10	283_CC_UNK_RUS_F	1861425	58740	90697	104459	44978	10.7	4996	65871
chr_10	311_CO_ACW_RUS_F	1729191	77312	106883	128738	55457	7.8	6244	163347
chr_10	285_CC_UNK_RUS_F	1805265	54636	91827	102402	44061	8.7	4679	125005
chr_10	381_CO_PLW_RUS_F	1811482	86578	110092	137106	59564	10.9	7817	68581
chr_10	304_CC_UNK_RUS_F	1872947	54234	110302	114688	49848	11.3	6110	39250
chr_10	362_CO_PLW_RUS_F	1821242	85343	115878	140504	60717	12.0	8206	54270
chr_10	328_CC_SCC_RUS_F	1877945	56441	102962	111702	47701	12.1	5141	39385
chr_10	317_CO_SCC_RUS_F	1828621	84154	116447	139827	60774	12.2	7026	47511
chr_10	295_CC_UNK_RUS_F	1845239	59456	85740	101792	43404	9.7	4444	86298
chr_10	277_CC_UNK_RUS_F	1882935	59354	91401	105405	45350	11.9	4678	43043
chr_10	376_CO_PLW_RUS_F	1812937	86195	112026	138313	59908	11.1	8314	65575
chr_10	286_CC_UNK_RUS_F	1872365	58862	90882	104812	44932	10.8	4732	54624
chr_10	252_CC_SRT_RUS_F	1886364	55078	104390	111107	48361	12.5	5175	30901
chr_10	291_CC_UNK_RUS_F	1891726	61866	88092	104819	45139	12.4	4252	35049
chr_10	294_CC_UNK_RUS_F	1890582	59640	92462	106155	45947	12.9	4337	34049
chr_10	276_CC_UNK_RUS_F	1855588	57764	89788	103211	44341	12.1	4267	73593
chr_10	436_CC_UNK_ROM_F	600807	13502	33511	34582	12431	2.8	3186	1428913
chr_10	439_CC_UNK_RUS_F	792418	18579	43290	45630	16239	3.3	4225	1222446
chr_10	441_CC_UNK_RUS_F	622713	14345	33383	35186	12542	2.8	3162	1406292
chr_10	443_CC_UNK_RUS_F	724308	16662	40093	41327	15428	3.1	3248	1295670
chr_10	440_CC_UNK_RUS_F	895392	21368	50674	52864	19178	3.5	4750	1109299
chr_10	445_CC_UNK_TOG_F	916177	22277	51075	53829	19523	3.6	4705	1087204
chr_10	431_CC_UNK_EST_F	1102847	26886	64146	66419	24613	4.1	5345	882854
chr_10	433_CC_UNK_CHN_F	1041901	27545	51571	57530	21586	3.9	5009	955716
chr_10	434_CC_UNK_UKR_F	1044562	26236	59335	61873	23698	3.9	4652	946600
chr_10	414_CC_GRW_HUN_F	1815655	52216	105218	110479	46955	10.5	5251	103644
chr_10	412_CC_GRW_HUN_F	1828447	52829	106858	111376	48311	11.5	5257	88599
chr_10	410_CC_GRW_HUN_F	1852455	53510	110543	114767	49286	13.5	5447	60225
chr_10	411_CC_GRW_HUN_F	1508968	38317	87387	88667	37037	6.2	3903	442061
chr_10	413_CC_GRW_HUN_F	1432080	39295	80317	84702	34910	6.1	3860	525041
chr_10	416_CC_GRW_HUN_F	1766093	51644	104074	109281	46437	13.4	5360	154922
chr_10	401_CO_SCC_RUS_F	1568559	69693	95695	115818	49570	7.1	5778	342786
chr_10	415_CC_GRW_HUN_F	1791957	49970	105018	108519	46469	12.0	4774	129788
chr_10	301_CC_UNK_RUS_F	1661081	47687	86579	93913	40353	6.8	3817	281386
chr_10	400_CO_SCC_RUS_F	1733211	79241	104716	128716	55241	8.2	6302	159565
chr_10	330_CO_SCC_RUS_F	1830115	85692	113959	139112	60539	12.5	6967	46967
chr_10	310_CO_ACW_RUS_F	1830270	84781	117359	141024	61116	12.9	7615	44323
chr_10	119_CC_UNK_ENG_F	1853372	53663	108020	112994	48689	10.0	6555	61678
chr_10	357_CO_YBW_RUS_F	1816660	83252	114103	137625	59730	11.5	7770	62718
chr_10	382_CO_PLW_RUS_F	1795176	82685	113672	137386	58971	11.2	7745	85200
chr_10	387_CP_MBW_RUS_F	1707057	159083	57494	152670	63907	11.3	94238	153099
chr_10	327_CO_SCC_RUS_F	1825528	84487	115900	139941	60446	11.8	7033	50818
chr_11	437_CC_UNK_MAC_F	800905	19208	44748	46859	17097	3.3	3999	1214863
chr_11	442_CC_UNK_RUS_F	901026	20913	50265	52636	18542	3.6	4970	1107520
chr_11	435_CC_UNK_UKR_F	1013713	26135	52855	57200	21790	3.8	4030	987021
chr_11	432_CC_UNK_IRA_F	1012388	24355	55414	58311	21458	3.8	4885	987567
chr_11	438_CC_UNK_RUS_F	1040033	24943	59795	62369	22369	3.9	5652	954953
chr_11	444_CC_UNK_MON_F	1020799	24415	57810	60631	21594	3.9	5246	976700
chr_11	423_CC_GRW_HUN_F	1778494	50731	100728	106592	44867	9.5	5191	149771
chr_11	419_CC_GRW_HUN_F	1827597	51885	105965	111014	46836	10.7	3974	94277
chr_11	427_CC_GRW_HUN_F	1447799	39294	79354	84281	34367	7.1	3684	513277
chr_11	420_CC_GRW_HUN_F	1419497	39270	78081	83164	34187	5.8	3752	542876
chr_11	418_CC_GRW_HUN_F	1491516	41557	82092	87316	36333	6.0	3635	464559
chr_11	422_CC_GRW_HUN_F	1418820	41695	75433	82956	34172	5.4	3292	543776
chr_11	429_CC_GRW_HUN_F	1518390	42934	82305	88969	36270	7.4	3697	436095
chr_11	421_CC_GRW_HUN_F	1394059	38578	75728	81050	33256	5.8	2070	571359
chr_11	424_CC_GRW_HUN_F	1493711	42647	81266	87853	36060	6.2	3716	462100
chr_11	417_CC_GRW_HUN_F	1536881	42522	85139	90487	37174	6.6	3053	415182
chr_11	428_CC_GRW_HUN_F	1631531	45430	91023	96329	40124	7.1	3128	311740
chr_11	430_CC_GRW_HUN_F	1715755	48840	97627	103176	43291	8.6	4540	217502
chr_11	426_CC_GRW_HUN_F	1793771	50484	102684	107750	45418	10.8	5220	132785
chr_11	393_CC_UNK_RUS_F	1319823	38362	61815	70832	29345	4.8	2632	659724
chr_11	370_CO_PLW_RUS_F	1640938	70424	104682	122559	52547	7.7	7570	263680
chr_11	379_CO_PLW_RUS_F	1762465	78550	110205	132139	56616	8.9	7755	128504
chr_11	120_CC_UNK_ENG_F	1783648	50969	100002	106050	44921	8.2	5663	145105
chr_11	380_CO_PLW_RUS_F	1775896	79688	110216	133022	56882	9.2	7678	113924
chr_11	283_CC_UNK_RUS_F	1870236	57731	89419	103260	43890	10.7	4853	62338
chr_11	311_CO_ACW_RUS_F	1740610	76712	105992	128071	54633	7.8	6261	156410
chr_11	285_CC_UNK_RUS_F	1825236	56246	85366	99236	42376	8.9	4693	112876
chr_11	381_CO_PLW_RUS_F	1822866	82530	115101	138347	59284	11.0	7533	59227
chr_11	304_CC_UNK_RUS_F	1884376	53471	106973	112787	47657	11.5	5680	34904
chr_11	362_CO_PLW_RUS_F	1834681	84175	115588	139825	59938	12.2	8097	45280
chr_11	328_CC_SCC_RUS_F	1884104	54265	105583	112000	47848	12.2	5142	35772
chr_11	317_CO_SCC_RUS_F	1837068	83676	115161	139237	59600	12.2	7342	43819
chr_11	295_CC_UNK_RUS_F	1855617	58378	84940	101019	42299	9.7	4117	80789
chr_11	277_CC_UNK_RUS_F	1892929	60368	87426	103733	44061	12.4	4368	39001
chr_11	376_CO_PLW_RUS_F	1823061	83183	113616	137527	59272	11.1	8597	59864
chr_11	286_CC_UNK_RUS_F	1883983	59343	86790	102766	43367	10.9	4572	49608
chr_11	252_CC_SRT_RUS_F	1896815	54014	102017	109558	46473	12.7	5192	26878
chr_11	291_CC_UNK_RUS_F	1903383	60891	84463	101992	43362	12.4	4220	30987
chr_11	294_CC_UNK_RUS_F	1899615	59321	89909	104613	44617	12.9	4419	30879
chr_11	276_CC_UNK_RUS_F	1875529	58404	88688	103170	43922	12.1	4474	57103
chr_11	436_CC_UNK_ROM_F	626008	13937	34185	35486	12636	2.9	3209	1405594
chr_11	439_CC_UNK_RUS_F	814170	18797	46165	48173	16789	3.3	4343	1200592
chr_11	441_CC_UNK_RUS_F	643487	14040	34935	36340	12635	2.9	3321	1387262
chr_11	443_CC_UNK_RUS_F	752968	17337	41897	43100	16134	3.2	3540	1267522
chr_11	440_CC_UNK_RUS_F	925981	21641	51986	54172	19455	3.6	4775	1080116
chr_11	445_CC_UNK_TOG_F	939915	22181	53752	55691	20242	3.6	4957	1063876
chr_11	431_CC_UNK_EST_F	1139242	26185	66672	68320	24537	4.2	5790	847625
chr_11	433_CC_UNK_CHN_F	1064039	27391	52832	58590	21633	4.0	5315	935462
chr_11	434_CC_UNK_UKR_F	1068627	25761	59913	62439	23235	4.0	4837	925423
chr_11	414_CC_GRW_HUN_F	1830279	51933	105039	110282	46690	10.8	5437	92473
chr_11	412_CC_GRW_HUN_F	1839267	51874	104923	110315	46482	11.8	4762	83660
chr_11	410_CC_GRW_HUN_F	1860564	52737	108767	113340	48164	13.9	5689	57656
chr_11	411_CC_GRW_HUN_F	1543769	41362	87130	90805	37687	6.5	3779	407463
chr_11	413_CC_GRW_HUN_F	1477766	40983	81066	86585	35464	6.3	3655	479909
chr_11	416_CC_GRW_HUN_F	1798457	52171	103534	109710	45995	13.9	4733	125562
chr_11	401_CO_SCC_RUS_F	1564465	66943	96517	114887	48573	7.0	5792	351799
chr_11	415_CC_GRW_HUN_F	1810820	51709	104370	109949	46130	12.4	4039	112825
chr_11	301_CC_UNK_RUS_F	1707527	48554	85784	94436	39902	7.2	3937	237859
chr_11	400_CO_SCC_RUS_F	1739649	76697	107413	129316	54794	8.2	6507	155965
chr_11	330_CO_SCC_RUS_F	1837631	83075	115785	139157	59703	12.5	7096	43233
chr_11	310_CO_ACW_RUS_F	1839375	83253	116097	139696	59654	13.0	7396	40999
chr_11	119_CC_UNK_ENG_F	1860157	52528	108038	112816	47750	10.0	6420	59001
chr_11	357_CO_YBW_RUS_F	1828942	82530	115461	138644	59347	11.8	7929	52791
chr_11	382_CO_PLW_RUS_F	1813890	81558	114266	137227	58597	11.3	7812	70010
chr_11	387_CP_MBW_RUS_F	1718398	163490	59796	157836	65450	11.5	99587	138040
chr_11	327_CO_SCC_RUS_F	1834795	83265	114365	138073	59557	11.9	7190	47299
chr_12	437_CC_UNK_MAC_F	778150	19468	45764	47779	17453	3.3	4003	1187425
chr_12	442_CC_UNK_RUS_F	874419	21700	51107	53642	19165	3.5	4771	1083581
chr_12	435_CC_UNK_UKR_F	985917	26067	54925	58650	22342	3.8	3985	963898
chr_12	432_CC_UNK_IRA_F	986167	25509	54947	58750	21706	3.8	4672	964184
chr_12	438_CC_UNK_RUS_F	1011804	25938	59195	62454	22679	3.9	5155	933870
chr_12	444_CC_UNK_MON_F	992486	24597	59433	61613	22417	3.9	5157	954291
chr_12	423_CC_GRW_HUN_F	1725483	51948	103875	109758	46065	9.5	3738	149501
chr_12	419_CC_GRW_HUN_F	1779192	54945	104042	111702	47285	10.8	5042	92628
chr_12	427_CC_GRW_HUN_F	1396012	41257	81422	87420	35259	7.0	3578	512116
chr_12	420_CC_GRW_HUN_F	1380108	40286	77804	84023	34067	5.7	3269	532609
chr_12	418_CC_GRW_HUN_F	1453949	42470	82931	88572	36829	5.9	3146	451457
chr_12	422_CC_GRW_HUN_F	1371814	40230	78128	84245	34113	5.4	3096	540635
chr_12	429_CC_GRW_HUN_F	1462617	44170	84429	91553	37046	7.3	2699	439591
chr_12	421_CC_GRW_HUN_F	1375165	40789	77459	84070	34178	5.8	2092	537394
chr_12	424_CC_GRW_HUN_F	1456347	41592	83633	88920	36305	6.2	3354	449235
chr_12	417_CC_GRW_HUN_F	1496241	43904	87364	92947	38321	6.6	2211	403298
chr_12	428_CC_GRW_HUN_F	1578678	46740	93198	98825	41113	7.1	3362	312191
chr_12	430_CC_GRW_HUN_F	1670308	50723	96869	104116	43476	8.6	4004	212907
chr_12	426_CC_GRW_HUN_F	1742002	51004	102714	108208	45510	10.7	4970	135087
chr_12	393_CC_UNK_RUS_F	1268316	39381	62891	72293	29979	4.8	2564	660219
chr_12	370_CO_PLW_RUS_F	1605105	66961	101532	118189	50304	7.5	6964	257209
chr_12	379_CO_PLW_RUS_F	1727085	74317	108900	128530	54687	8.9	7069	120505
chr_12	120_CC_UNK_ENG_F	1734102	52434	102308	108626	46116	8.3	5486	141963
chr_12	380_CO_PLW_RUS_F	1738237	74467	111542	130354	55655	9.2	7006	106561
chr_12	283_CC_UNK_RUS_F	1814664	60297	91458	106745	45010	10.7	4840	64388
chr_12	311_CO_ACW_RUS_F	1700080	71940	105654	124580	53014	7.7	6184	153133
chr_12	285_CC_UNK_RUS_F	1771464	57987	89069	103266	43790	8.9	4354	112287
chr_12	381_CO_PLW_RUS_F	1785889	77959	115545	135721	57783	11.0	7551	51414
chr_12	304_CC_UNK_RUS_F	1831689	55422	111053	116615	49860	11.6	5887	32643
chr_12	362_CO_PLW_RUS_F	1796880	78120	118336	137614	58842	12.2	7810	37471
chr_12	328_CC_SCC_RUS_F	1833583	57193	105283	113785	48691	12.2	4987	34748
chr_12	317_CO_SCC_RUS_F	1799528	78729	115243	135932	58040	12.2	7281	37307
chr_12	295_CC_UNK_RUS_F	1795828	61387	82037	101149	42275	9.4	3736	91555
chr_12	277_CC_UNK_RUS_F	1846372	62537	90984	107690	45831	12.7	4211	30914
chr_12	376_CO_PLW_RUS_F	1783561	79381	113201	135004	57578	11.1	8710	54664
chr_12	286_CC_UNK_RUS_F	1827223	60562	91493	106892	45163	10.7	4589	51529
chr_12	252_CC_SRT_RUS_F	1842818	57083	104645	113530	48198	12.7	4909	26261
chr_12	291_CC_UNK_RUS_F	1846707	63413	88051	106369	45095	12.3	4003	32636
chr_12	294_CC_UNK_RUS_F	1847159	59976	94656	108464	46168	13.1	4265	29016
chr_12	276_CC_UNK_RUS_F	1821380	60509	91905	107132	45282	12.0	4325	57013
chr_12	436_CC_UNK_ROM_F	607867	14741	34978	36654	13065	2.9	3305	1373221
chr_12	439_CC_UNK_RUS_F	791440	19874	45252	48215	16911	3.3	4170	1174241
chr_12	441_CC_UNK_RUS_F	620766	14269	36283	37313	13239	2.9	3264	1359489
chr_12	443_CC_UNK_RUS_F	736588	18164	41619	43700	16083	3.2	3386	1234436
chr_12	440_CC_UNK_RUS_F	898533	22855	53630	56251	20234	3.6	4755	1055789
chr_12	445_CC_UNK_TOG_F	913980	22999	53928	56702	20225	3.6	4957	1039900
chr_12	431_CC_UNK_EST_F	1113950	28207	68928	71124	26011	4.2	5678	819722
chr_12	433_CC_UNK_CHN_F	1030737	28234	53634	59682	22186	4.0	5020	918202
chr_12	434_CC_UNK_UKR_F	1032447	26953	64011	65716	25248	4.0	4880	907396
chr_12	414_CC_GRW_HUN_F	1777214	53636	107110	113242	47504	10.7	4992	92847
chr_12	412_CC_GRW_HUN_F	1785232	54591	107223	113715	48099	11.4	4973	83761
chr_12	410_CC_GRW_HUN_F	1808048	54658	110101	115549	49210	13.4	5039	58000
chr_12	411_CC_GRW_HUN_F	1496518	43946	90280	94888	39338	6.3	3742	400063
chr_12	413_CC_GRW_HUN_F	1438761	41972	82911	88497	36386	6.2	3536	467163
chr_12	416_CC_GRW_HUN_F	1747116	53691	104282	111331	46642	13.8	4062	125718
chr_12	401_CO_SCC_RUS_F	1508710	62289	94721	110665	46345	6.8	5862	365087
chr_12	415_CC_GRW_HUN_F	1758599	53973	106720	113296	47397	12.3	3668	111515
chr_12	301_CC_UNK_RUS_F	1670300	50319	90567	98936	41950	7.4	3959	219621
chr_12	400_CO_SCC_RUS_F	1696093	72344	106839	125952	53231	8.1	6208	155531
chr_12	330_CO_SCC_RUS_F	1801257	78613	115696	136025	58284	12.6	7373	35241
chr_12	310_CO_ACW_RUS_F	1803102	78890	115329	135945	58274	13.1	7241	33486
chr_12	119_CC_UNK_ENG_F	1810064	56182	107653	115084	48751	10.0	6291	56908
chr_12	357_CO_YBW_RUS_F	1792375	77109	115858	135336	57631	11.7	7774	45465
chr_12	382_CO_PLW_RUS_F	1771529	77291	111970	132650	56611	11.2	7531	70017
chr_12	387_CP_MBW_RUS_F	1699089	159093	57861	153400	63554	11.7	94273	114764
chr_12	327_CO_SCC_RUS_F	1798694	78270	115870	136112	58028	12.1	7122	37973
chr_13	437_CC_UNK_MAC_F	733158	18310	40917	43418	15809	3.3	3803	1138619
chr_13	442_CC_UNK_RUS_F	813544	18859	46288	48090	17057	3.5	4392	1052313
chr_13	435_CC_UNK_UKR_F	934406	23366	49577	52613	20330	3.8	3673	923655
chr_13	432_CC_UNK_IRA_F	923610	22360	50815	53405	19770	3.8	4693	934219
chr_13	438_CC_UNK_RUS_F	947958	22961	53201	56154	20008	3.9	5021	906884
chr_13	444_CC_UNK_MON_F	926636	22021	53282	55346	19957	3.8	5019	929065
chr_13	423_CC_GRW_HUN_F	1630253	46967	92921	98238	41650	9.2	4520	160863
chr_13	419_CC_GRW_HUN_F	1686322	47911	98363	102599	43675	10.6	5077	98408
chr_13	427_CC_GRW_HUN_F	1274182	35760	72245	76993	31012	6.7	3777	548817
chr_13	420_CC_GRW_HUN_F	1265263	35145	69535	74432	30248	5.5	3232	561061
chr_13	418_CC_GRW_HUN_F	1359096	37453	74821	79435	32839	5.8	3699	459634
chr_13	422_CC_GRW_HUN_F	1286976	36096	69051	74276	30871	5.3	2851	538881
chr_13	429_CC_GRW_HUN_F	1348440	44259	62866	75943	31182	6.9	2802	475439
chr_13	421_CC_GRW_HUN_F	1267309	35186	69297	74126	30357	5.6	2379	559212
chr_13	424_CC_GRW_HUN_F	1341081	37387	73691	78542	32536	5.9	3135	478845
chr_13	417_CC_GRW_HUN_F	1378033	39111	77707	82701	34117	6.3	2963	436153
chr_13	428_CC_GRW_HUN_F	1476972	41331	82103	86829	36605	6.9	2920	330598
chr_13	430_CC_GRW_HUN_F	1567207	45088	88584	94069	39603	8.3	4237	230125
chr_13	426_CC_GRW_HUN_F	1640908	47317	94526	99609	42234	10.4	4681	148253
chr_13	393_CC_UNK_RUS_F	1220516	36135	58810	67122	27823	4.8	2376	615543
chr_13	370_CO_PLW_RUS_F	1533306	65043	97854	113636	49261	7.9	7010	234801
chr_13	379_CO_PLW_RUS_F	1638081	73269	100403	121737	51935	8.9	7077	119251
chr_13	120_CC_UNK_ENG_F	1655326	47813	94535	99432	42916	8.3	5656	133330
chr_13	380_CO_PLW_RUS_F	1652373	73861	102519	123255	53125	9.3	7305	102251
chr_13	283_CC_UNK_RUS_F	1732743	53689	84661	96743	41607	10.8	4452	59911
chr_13	311_CO_ACW_RUS_F	1618133	71736	97047	118166	50617	7.8	5945	144088
chr_13	285_CC_UNK_RUS_F	1696635	51239	82331	93483	40087	9.0	4529	100799
chr_13	381_CO_PLW_RUS_F	1702695	87355	82812	119142	51025	10.9	6558	58142
chr_13	304_CC_UNK_RUS_F	1744926	50560	102098	106759	45899	11.5	5552	33420
chr_13	362_CO_PLW_RUS_F	1705447	79260	103056	127482	54834	12.0	7649	43241
chr_13	328_CC_SCC_RUS_F	1747777	50417	98225	103920	44722	12.2	4495	34585
chr_13	317_CO_SCC_RUS_F	1708800	76868	106252	128076	55044	12.2	7075	39084
chr_13	295_CC_UNK_RUS_F	1720929	59696	70335	91397	38634	9.6	3732	80044
chr_13	277_CC_UNK_RUS_F	1748614	56187	81042	96043	41186	12.1	3874	45161
chr_13	376_CO_PLW_RUS_F	1696013	79297	100605	125761	54141	11.1	7794	55089
chr_13	286_CC_UNK_RUS_F	1744823	56055	81794	96505	41344	10.8	4132	48332
chr_13	252_CC_SRT_RUS_F	1757785	51329	95860	102736	44453	12.7	4675	26030
chr_13	291_CC_UNK_RUS_F	1761573	57622	80696	96814	41504	12.4	3987	31113
chr_13	294_CC_UNK_RUS_F	1761942	54427	86234	98363	42298	12.9	4032	28401
chr_13	276_CC_UNK_RUS_F	1729820	53985	84048	96903	41130	11.8	4162	63151
chr_13	436_CC_UNK_ROM_F	563641	12860	31337	32551	11646	2.8	2996	1323166
chr_13	439_CC_UNK_RUS_F	737309	16937	41113	42890	15160	3.3	4027	1135645
chr_13	441_CC_UNK_RUS_F	582887	13211	31035	32853	11393	2.9	2926	1303871
chr_13	443_CC_UNK_RUS_F	677423	15429	36815	38289	13955	3.1	3149	1201337
chr_13	440_CC_UNK_RUS_F	837373	20168	48108	50204	18072	3.6	4409	1025355
chr_13	445_CC_UNK_TOG_F	856903	20496	48189	50530	18155	3.6	4688	1005416
chr_13	431_CC_UNK_EST_F	1032248	25179	60919	62994	23104	4.2	5238	812658
chr_13	433_CC_UNK_CHN_F	972226	25450	48635	53905	20180	3.9	4686	884693
chr_13	434_CC_UNK_UKR_F	974795	24148	55936	58035	22049	3.9	4391	876125
chr_13	414_CC_GRW_HUN_F	1690904	47261	95985	100583	42663	10.5	5028	96854
chr_13	412_CC_GRW_HUN_F	1696659	49415	98956	104152	44219	11.3	3841	85974
chr_13	410_CC_GRW_HUN_F	1721818	50014	101263	105753	45524	13.1	4668	57909
chr_13	411_CC_GRW_HUN_F	1403894	38732	80991	84740	34983	6.2	3811	407387
chr_13	413_CC_GRW_HUN_F	1330627	36319	73716	78047	31988	6.0	3260	490342
chr_13	416_CC_GRW_HUN_F	1647068	47396	96096	101006	42486	13.3	4070	140444
chr_13	401_CO_SCC_RUS_F	1466119	62607	89957	106996	45568	7.2	5546	312321
chr_13	415_CC_GRW_HUN_F	1664567	48681	94600	100945	42336	12.0	4423	123156
chr_13	301_CC_UNK_RUS_F	1567286	44565	80332	87366	37531	7.0	3702	238821
chr_13	400_CO_SCC_RUS_F	1618988	71029	99000	119242	50787	8.3	5906	141987
chr_13	330_CO_SCC_RUS_F	1709941	77053	106673	128510	55216	12.6	6415	37337
chr_13	310_CO_ACW_RUS_F	1711949	76641	108279	129341	55579	13.1	7052	34135
chr_13	119_CC_UNK_ENG_F	1726236	50345	99417	104677	45085	10.1	6262	55006
chr_13	357_CO_YBW_RUS_F	1697494	75788	105331	126777	54342	11.4	7241	52391
chr_13	382_CO_PLW_RUS_F	1678464	74803	105712	126607	53908	10.9	7640	72025
chr_13	387_CP_MBW_RUS_F	1604547	151242	53542	144856	59928	11.4	90262	121673
chr_13	327_CO_SCC_RUS_F	1708525	76998	105736	127845	54889	12.0	6282	39745
chr_14	437_CC_UNK_MAC_F	723549	18369	41916	43783	16502	3.3	3627	1107862
chr_14	442_CC_UNK_RUS_F	810364	20027	46328	48662	17693	3.5	4247	1014977
chr_14	435_CC_UNK_UKR_F	907785	24202	49568	52981	20789	3.8	3601	910141
chr_14	432_CC_UNK_IRA_F	916310	23473	51705	54600	20578	3.8	4487	900208
chr_14	438_CC_UNK_RUS_F	941279	23738	54647	57173	21212	3.9	4876	872032
chr_14	444_CC_UNK_MON_F	920721	22902	53807	55903	20806	3.9	4916	894266
chr_14	423_CC_GRW_HUN_F	1610879	49077	93209	99581	42705	9.6	5042	138531
chr_14	419_CC_GRW_HUN_F	1642005	49149	96719	101602	44266	10.1	4791	103823
chr_14	427_CC_GRW_HUN_F	1314684	38767	74416	80079	33104	7.2	3586	463829
chr_14	420_CC_GRW_HUN_F	1296757	38150	72716	78219	32647	5.9	3296	484073
chr_14	418_CC_GRW_HUN_F	1340819	39200	73395	79040	33555	5.8	3040	438282
chr_14	422_CC_GRW_HUN_F	1295779	37998	73242	78206	33034	5.5	2849	484677
chr_14	429_CC_GRW_HUN_F	1384450	44155	71494	81427	34222	7.5	2679	391597
chr_14	421_CC_GRW_HUN_F	1237638	36607	69173	74485	31295	5.6	2492	548278
chr_14	424_CC_GRW_HUN_F	1358381	40886	76189	82290	34785	6.3	3162	416240
chr_14	417_CC_GRW_HUN_F	1390668	43100	74392	82457	35035	6.6	2126	383536
chr_14	428_CC_GRW_HUN_F	1468673	43663	82595	88706	37552	7.0	3426	296765
chr_14	430_CC_GRW_HUN_F	1548873	45131	90049	94499	40681	8.5	3404	207643
chr_14	426_CC_GRW_HUN_F	1620711	48472	94258	99526	43204	10.7	4487	128255
chr_14	393_CC_UNK_RUS_F	1200901	37525	57747	66970	28302	4.9	2448	595523
chr_14	370_CO_PLW_RUS_F	1489353	63322	93144	108401	48065	7.8	6465	245877
chr_14	379_CO_PLW_RUS_F	1592606	70070	98670	117355	51385	8.7	6553	130350
chr_14	120_CC_UNK_ENG_F	1609938	48520	91329	97536	42313	8.1	5116	141909
chr_14	380_CO_PLW_RUS_F	1613943	72631	96631	117769	51493	9.3	6686	108491
chr_14	283_CC_UNK_RUS_F	1688245	56232	82187	96374	42045	10.6	4408	65032
chr_14	311_CO_ACW_RUS_F	1594441	69270	96409	115343	50336	8.1	6007	131576
chr_14	285_CC_UNK_RUS_F	1660821	55455	77893	92913	40435	9.1	4157	97527
chr_14	381_CO_PLW_RUS_F	1657565	75625	99999	121964	53660	11.1	7255	58507
chr_14	304_CC_UNK_RUS_F	1710449	71773	60764	92570	39967	11.3	4538	48710
chr_14	362_CO_PLW_RUS_F	1664213	74479	106183	125548	55114	12.2	7454	46821
chr_14	328_CC_SCC_RUS_F	1703949	52414	98027	104584	45857	12.1	4844	37306
chr_14	317_CO_SCC_RUS_F	1670822	75236	102988	123702	54522	12.3	6818	42650
chr_14	295_CC_UNK_RUS_F	1684237	54791	83267	96172	41886	10.1	3902	69401
chr_14	277_CC_UNK_RUS_F	1700648	55730	84679	97978	42431	11.6	3998	50639
chr_14	376_CO_PLW_RUS_F	1659350	76416	100298	122795	53919	11.4	7545	55632
chr_14	286_CC_UNK_RUS_F	1703166	54946	85806	98039	42713	10.9	4310	47778
chr_14	252_CC_SRT_RUS_F	1715399	52787	94056	102108	44735	12.5	4439	29454
chr_14	291_CC_UNK_RUS_F	1717865	59147	80407	97049	42505	12.4	4106	34277
